date_report,FB_consensus_estimate_eps,FB_reported_eps,FB_revenue_estimate,FB_revenue_actual,AAPL_consensus_estimate_eps,AAPL_reported_eps,AAPL_revenue_estimate,AAPL_revenue_actual,AMZN_consensus_estimate_eps,AMZN_reported_eps,AMZN_revenue_estimate,AMZN_revenue_actual,NFLX_consensus_estimate_eps,NFLX_reported_eps,NFLX_revenue_estimate,NFLX_revenue_actual,GOOGL_consensus_estimate_eps,GOOGL_reported_eps,GOOGL_revenue_estimate,GOOGL_revenue_actual,MSFT_consensus_estimate_eps,MSFT_reported_eps,MSFT_revenue_estimate,MSFT_revenue_actual
2017-11-10,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-11,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-12,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-13,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-14,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-15,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-16,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-17,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-18,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-19,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-20,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-21,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-22,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-23,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-24,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-25,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-26,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-27,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-28,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-29,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-11-30,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-01,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-02,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-03,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-04,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-05,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-06,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-07,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-08,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-09,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-10,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-11,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-12,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-13,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-14,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-15,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-16,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-17,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-18,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-19,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-20,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-21,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-22,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-23,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-24,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-25,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-26,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-27,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-28,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-29,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-30,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2017-12-31,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-01,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-02,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-03,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-04,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-05,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-06,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-07,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-08,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-09,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-10,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-11,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-12,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-13,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-14,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-15,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-16,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-17,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-18,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-19,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-20,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-21,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.32,0.29,2970000000.0,2990000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-22,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.41,0.41,3280000000.0,3290000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-23,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.41,0.41,3280000000.0,3290000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-24,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.41,0.41,3280000000.0,3290000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-25,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.41,0.41,3280000000.0,3290000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
2018-01-26,1.28,1.59,9840000000.0,10330000000.0,0.4675,0.5175,50710000000.0,52580000000.0,1.09,0.52,42260000000.0,43740000000.0,0.41,0.41,3280000000.0,3290000000.0,8.43,9.57,21940000000.0,22270000000.0,0.72,0.84,23570000000.0,24500000000.0
